id,clave,nombre,region_id,created_at,updated_at
114,114,"BENEMÉRITO DE LAS AMÉRICAS",13,"2019-06-26 14:03:47","2019-06-26 14:03:47"
115,115,"MARAVILLA TENEJAPA",15,"2019-06-26 14:03:47","2019-06-26 14:03:47"
116,116,"MARQUÉS DE COMILLAS",13,"2019-06-26 14:03:47","2019-06-26 14:03:47"
117,117,"MONTECRISTO DE GUERRERO",6,"2019-06-26 14:03:47","2019-06-26 14:03:47"
118,118,"SAN ANDRÉS DURAZNAL",7,"2019-06-26 14:03:47","2019-06-26 14:03:47"
119,119,"SANTIAGO EL PINAR",5,"2019-06-26 14:03:47","2019-06-26 14:03:47"
120,120,"Belisario Dominguez",2,"2019-06-26 14:03:47","2019-06-26 14:03:47"
121,121,"Emiliano Zapata",3,"2019-06-26 14:03:47","2019-06-26 14:03:47"
122,122,Mezcalapa,4,"2019-06-26 14:03:47","2019-06-26 14:03:47"
123,123,"El Parral",6,"2019-06-26 14:03:47","2019-06-26 14:03:47"
